1.ÿÿÿÿÿÿ He?s  ____ doctor of  law.,an     ,the    ,    ,one
2.ÿÿÿÿÿÿ _____ she like chocolates?,Does    ,Has    ,Is      ,Do
3.ÿÿÿÿÿÿ The student ______ papers.,writing,writes  ,write     ,is writes
4.ÿÿÿÿÿÿ _____ bag is that?,What,Who?s,Whose,Which
5.ÿÿÿÿÿÿ _____ tell her professor next time.,She does ,She,She?ll,She?s
6.ÿÿÿÿÿÿ He _____to see his mother yesterday .,went    ,goes , has gone         ,has been
7.ÿÿÿÿÿÿ He _____ very hard now.,works    , has been working        ,is working        ,work
8.ÿÿÿÿÿÿ They have ______ beautiful books.,  any       ,all     ,some    ,lots
9.ÿÿÿÿÿÿ She_____ for fifteen years and still likes the job.,  works      , is working,has been working ,worked 
10.ÿÿ  _______ up! or we?ll be late.,  You hurry,Be hurrying,Hurry ,Hurry you 
11.ÿÿ Their grades are _____ than ours.,more good  ,most good,better,  gooder
"12.ÿÿ Do you smoke? No, I _____.", doesn?t  , don?t smoke,don?t    ,am not smoking 
"13.ÿÿ Look what I ______, new watch.", get   ,  got  ,getting,  ?ve got 
"14.ÿÿ Excuse me, can I borrow _______ dictionary?", your ,yours,you ,a
15.ÿÿ The teacher is ______ the room.,on,in,at,into
16.ÿÿ He?s been sent to  ______ prison.,the,b,---,an
17.ÿÿ ______ you busy?,Is,Do,Are,Be
18.ÿÿ They  _____ work everyday at 7 o?clock.,are starting,starts,have starting,start
19.ÿÿ _______  do you do?,Why,Where,What,Who
"20.ÿÿ Look at the clouds, I think it _____.",  will rain  ,is going to rain ,rains,rain
"21.ÿÿ I feel sick, I _______ too much cake earlier.",eat,am eating ,ate,eated
"22.ÿÿ Hey, turn the radio down, I ________ to work.",trys,am trying, have been trying,tried 
23.ÿÿ Can I have ______ chocolate?,some,any,all,few
24.ÿÿ __________ phoned yet?,Had he,Is he,Has he,Dis he
25.ÿÿ ________ in the name of the law!,Stopping,Stop,Stops,You stop
"26.ÿÿ He is the ______ runner, he won nothing.",bad,badest,worse,worst
27.ÿÿ ?Are you student too?? ?________?.,"Yes, I does"," Yes, I am student too ","Yes, I am "," Yes, I?m"
"28.ÿÿ Excuse me, ___________ the time?",have you,have you got ,got you ,---
29.ÿÿ The coats be long to __________?,their  ,theirs, them  ,they 
"30.ÿÿ We don?t need the car, we?ll go ________.",bu foot,on foot,with foot,walk
"31.ÿÿ We have car, _________ Ford.",the,an,---,---
32.ÿÿ _____________ in the states before?,  Have you been, Be you , Are you,Went you  
33.ÿÿ In England the banks ________ at 3:30 pm., are closing  ,closes,close    ,closed 
34.ÿÿ __________ jacket is that? Paul?s.,Who?s    ,What ,Whose  ,Which
"35.ÿÿ ?What are you doing next Monday?? ?I ________ to New York, I have my ticket.?", flies,  am going to fly,have flown  , am flying
36.ÿÿ Where _______ you use to work?,do       have,, did , are 
37.ÿÿ Look there! the robbers ________ away., run ,have been running , are running,ran
"38.ÿÿ Please tell me ________ helpful, the rest wasn?t.",anything,  something , neither ,either 
39.ÿÿ He looks angry. He _______ his wallet.,lost,has lost,has been losing   ,loes
40.ÿÿ _________ move on! We haven?t got all day.,Gets , Be getting  ,You get,Get
41.ÿÿ She is _________ intelligent than him.,most,much,more,---
"42.ÿÿ ?Are you happy?? ?Yes, I ________.?",am happy,?m ,am,be happy
"43.ÿÿ Look, they _______ new house.",have got,got,have get,gets
"44.ÿÿ ?Whose book is that?? ?It's  ________.""",he?s,him,his,his?
45.ÿÿ I?m meeting her  ________  4 o?clock   ________ Monday.,"on,at","with,on","at,on","at,in"
"46.ÿÿ ________ you assist me later, sir?",May,Would,Could,Will
47.ÿÿ ________ you finish the project yesterday?,Do,Have,Did,Are
