
"","He’s _ doctor of law.","an","the","one"," ","ing"
"","_ she like chocolates?","Does","Has","Is","Do","ing"
"","The student _ papers.","writing","writes","write","is writes","ing"
"","_ bag is that?","What","Who’s","Whose","Which","ing"
"","_ tell her professor next time.","She does","She","She’ll","She’s","ing"
"","He _to see his mother yesterday","went","goes","has gone","has been","ing"
"","He _ very hard now.","works","has been working","is working","work","ing"
"","They have _ beautiful books.","any","all","some","lots","ing"
"","She_ for fifteen years and still likes the job.","works","is working","has been working","worked","ing"
"","_ up! or we’ll be late.","You hurry","Be hurrying","Hurry","Hurry you","ing"
"","Their grades are _ than ours.","more good","most good","better","gooder","ing"
"","Do you smoke? No, I _.","doesn’t","don’t smoke","don’t","am not smoking","ing"
"","Look what I _, new watch.","get","got","getting","ve got","ing"
"","Excuse me, can I borrow _ dictionary?","your","yours","you","a","ing"
"","The teacher is _ the room.","on","in","at","into","ing"
"","He’s been sent to  _ prison.","the","b","---","an","ing"
"","_ you busy?","Is","Do","Are","Be","ing"
"","They  _ work everyday at  o’clock.","are starting","starts","have starting","start","ing"
"","_  do you do?","Why","Where","What","Who","ing"
"","Look at the clouds, I think it _.","will rain","is going to rain","rains","rain","ing"
"","I feel sick, I _ too much cake earlier.","eat","am eating","ate","eated","ing"
"","Hey, turn the radio down, I _ to work.","trys","am trying","have been trying","tried","ing"
"","Can I have _ chocolate?","some","any","all","few","ing"
"","_ phoned yet?","Had he","Is he","Has he","Dis he","ing"
"","_ in the name of the law!","Stopping","Stop","Stops","You stop","ing"
"","He is the _ runner, he won nothing.","bad","badest","worse","worst","ing"
"","“Are you student too?” “_”.Yes","I does Yes","I am student too Yes","I am Yes","I’m","ing"
"","Excuse me, _ the time?","have you","have you got","got you","---","ing"
"","The coats be long to _?","their","theirs","them","they","ing"
"","We don’t need the car, we’ll go _.","by foot","on foot","with foot","walk","ing"
"","We have car, _ Ford.","the","an","---","---","ing"
"","_ in the states before?","Have you been","Be you","Are you","Went you","ing"
"","In England the banks _ at 3:30 pm.","are closing","closes","close","closed","ing"
"","_ jacket is that? Paul’s.","Who’s","What","Whose","Which","ing"
"","“What are you doing next Monday?” ”I _ to New York, I have my ticket.”","flies","am going to fly","have flown","am flying","ing"
"","Where _ you use to work?","do","have","did","are","ing"
"","Look there! the robbers _ away.","run","have been running","are running","ran","ing"
"","Please tell me _ helpful, the rest wasn’t.","anything","something","neither","either","ing"
"","He looks angry. He _ his wallet.","lost","has lost","has been losing","loes","ing"
"","_ move on! We haven’t got all day.","Gets","Be getting","You get","Get","ing"
"","She is _ intelligent than him.","most","much","more","---","ing"
"","“Are you happy?” ”Yes, I _.”","am happy","´m","am","be happy","ing"
"","Look, they _ new house.","have got","got","have get","gets","ing"
"","“Whose book is that?” “It's  _.",","he´s","him","his","his´","ing"
"","I’m meeting her  _   o’clock   _ Monday.","on,at","with,on","at,on","at,in","ing"
"","_ you assist me later, sir?","May","Would","Could","Will","ing"
"","_ you finish the project yesterday?","Do","Have","Did,","Are","ing"
